,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you have previous employers?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,Would you have been willing to discuss a mental health issue with your previous co-workers?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,Did you feel that your previous employers took mental health as seriously as physical health?,Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up a mental health issue with a potential employer in an interview?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,What country do you work in?,Do you work remotely?,Front-end Developer,Back-end Developer,DevOps/SysAdmin,Dev Evangelist/Advocate,One-person shop,Executive Leadership,Supervisor/Team Lead,Other,HR,Sales,Support
126,1,0.0,2,3,1,3,2,5,1,2,1,3,2,2,1,1,1,1,1,2,2,2,2,2,3,2,2,3,3,3,2,2,2,2,2,2,1,-1,1,36,2.0,1,2,0,0,0,0,0,0,0,1,0,0,0
128,101,1.0,2,3,2,2,2,1,2,2,1,1,2,2,1,3,4,3,4,3,2,2,2,2,4,2,3,2,3,4,1,4,3,3,3,2,2,-1,-1,34,1.0,6,2,1,0,0,0,0,0,0,0,0,0,0
129,26,1.0,1,3,3,3,3,2,2,3,3,2,1,2,1,3,3,4,4,3,3,3,3,4,2,3,2,3,2,2,3,4,3,3,3,2,2,-1,-1,44,2.0,1,2,0,0,0,0,0,0,0,1,0,0,0
130,1001,0.0,2,2,3,2,2,5,2,2,3,2,2,2,1,1,2,4,4,3,3,2,2,2,3,3,3,3,3,3,2,4,2,1,2,1,1,3,2,45,1.0,1,2,0,1,0,0,0,0,0,0,0,0,0
131,6,1.0,1,3,3,2,2,4,1,2,2,3,3,2,1,2,2,2,2,4,1,2,3,4,4,2,2,3,2,2,5,2,2,1,2,1,1,3,1,45,1.0,1,2,1,1,0,0,0,0,0,0,0,0,0
132,501,1.0,3,2,3,3,2,4,1,3,2,1,3,2,1,4,4,4,4,3,2,3,2,2,4,2,1,3,2,3,2,2,1,1,1,1,1,4,2,30,1.0,1,2,0,1,0,0,0,0,0,0,0,0,0
133,1001,0.0,1,3,3,1,1,3,2,3,2,1,2,2,1,2,2,2,2,3,3,3,3,4,4,2,3,3,2,3,3,2,2,1,1,1,1,3,3,34,1.0,1,2,0,1,0,0,0,0,0,0,0,0,0
134,1001,1.0,2,3,1,2,2,3,3,3,2,1,1,2,1,3,4,4,4,3,3,3,2,2,2,3,3,3,4,4,2,3,1,3,3,2,2,-1,-1,37,1.0,1,2,1,1,0,0,0,0,0,0,0,0,0
135,1001,0.0,1,2,3,2,1,3,2,3,3,2,2,2,1,2,2,4,2,3,2,3,3,3,3,3,2,2,2,3,-1,4,3,3,3,2,2,-1,-1,38,1.0,1,2,0,0,1,0,0,0,0,0,0,0,0
136,26,1.0,1,3,3,2,2,3,3,3,3,2,1,2,1,3,4,4,4,3,2,3,3,3,4,3,2,3,3,3,3,4,3,3,2,1,1,3,2,31,1.0,1,2,1,0,0,0,0,0,0,0,0,0,0
137,26,1.0,2,2,3,2,2,2,3,3,1,1,2,2,1,2,1,2,2,2,4,3,1,1,3,3,1,2,3,4,2,4,3,3,3,2,2,-1,-1,33,1.0,1,1,0,0,0,0,0,0,0,1,0,0,0
138,101,1.0,1,1,3,2,2,4,1,3,3,3,3,2,1,1,2,2,2,3,2,3,2,2,4,3,2,3,3,3,2,3,2,1,1,1,1,3,2,29,2.0,1,2,0,0,0,0,0,0,0,1,0,0,0
139,101,1.0,1,1,1,1,1,2,3,3,1,1,2,2,1,2,2,3,2,2,2,2,2,2,2,2,1,2,3,4,1,1,1,1,1,1,1,3,2,35,1.0,1,2,0,1,0,0,0,0,0,0,0,0,0
140,1,1.0,3,1,3,3,3,5,2,2,3,3,2,2,1,2,1,2,2,2,1,1,3,4,4,2,3,3,2,2,2,1,1,1,1,1,1,2,1,42,2.0,2,1,1,1,1,1,0,1,1,0,0,0,0
141,26,1.0,2,3,3,2,2,3,1,2,3,2,2,2,1,3,4,4,4,3,3,3,2,2,3,3,3,3,2,3,2,3,2,3,3,2,2,-1,-1,26,2.0,1,2,1,0,0,0,0,0,1,0,0,0,0
142,501,1.0,1,3,3,2,2,3,2,3,2,1,1,2,1,3,4,4,4,3,3,2,2,2,2,3,2,2,2,2,2,3,1,2,2,1,1,2,2,36,2.0,1,1,1,0,0,0,0,0,0,0,0,0,0
143,26,1.0,2,2,2,3,2,3,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,2,2,4,4,1,1,1,1,1,2,2,21,1.0,0,3,1,0,0,0,0,0,0,0,0,0,0
144,26,1.0,1,2,3,3,3,2,2,3,3,1,1,2,1,2,4,4,2,4,2,3,2,1,2,3,1,3,2,2,1,4,2,1,1,1,1,3,1,34,2.0,1,2,0,0,0,0,0,0,1,0,0,0,0
146,26,1.0,1,3,3,3,2,5,1,2,2,2,3,1,1,2,2,4,4,3,2,2,2,2,2,2,2,3,1,4,2,1,3,1,1,1,1,3,1,35,1.0,1,2,1,1,0,0,0,0,0,1,0,0,0
147,6,1.0,1,1,3,2,3,2,3,3,1,1,1,2,1,4,1,4,4,3,2,2,3,4,4,2,2,3,2,3,1,3,3,3,3,2,1,4,1,44,1.0,1,2,0,1,1,0,0,1,0,0,0,0,0
148,6,1.0,2,3,3,2,2,4,3,3,1,1,1,2,1,2,2,4,4,2,2,3,2,4,3,2,2,2,4,3,1,1,1,1,3,1,2,2,2,35,3.0,2,2,1,0,0,0,0,0,0,0,0,0,0
149,1001,1.0,3,-1,3,3,2,5,1,2,3,3,3,1,1,4,4,4,4,4,1,2,3,4,4,1,3,3,2,2,2,2,3,3,3,2,2,-1,-1,45,1.0,1,2,0,0,0,0,0,0,0,1,0,0,0
150,1001,0.0,1,1,2,1,1,1,3,3,2,1,1,2,1,2,1,2,2,1,4,3,2,2,2,3,1,1,4,4,1,4,3,1,1,1,1,4,2,42,1.0,1,2,0,0,0,0,0,0,1,0,0,0,0
153,101,1.0,1,3,2,2,2,3,2,3,2,2,2,2,1,3,2,2,2,3,3,3,2,2,3,3,2,2,3,3,2,4,1,2,2,2,1,-1,2,36,1.0,1,1,0,1,0,0,0,0,0,0,0,0,0
155,26,1.0,2,3,1,3,2,1,3,3,1,1,2,2,1,1,2,1,2,3,4,3,1,1,1,3,2,2,2,4,2,4,2,2,3,2,2,-1,-1,29,1.0,1,1,0,1,0,0,0,0,0,0,0,0,0
156,101,1.0,1,3,3,2,2,2,2,2,1,1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,4,5,4,3,3,3,2,2,-1,-1,37,1.0,1,3,0,0,0,0,0,0,0,1,0,0,0
157,26,1.0,3,2,3,2,1,5,1,2,2,2,2,2,1,2,3,4,4,3,2,2,2,2,4,2,3,3,1,4,3,3,2,1,1,1,1,2,1,31,1.0,1,2,0,0,0,1,0,0,0,0,0,0,1
158,1001,0.0,2,3,3,3,2,4,1,2,3,3,3,2,1,4,4,4,4,3,2,2,3,3,4,3,3,3,2,2,4,-1,3,3,3,2,2,-1,-1,42,1.0,2,1,1,1,1,0,0,0,1,0,0,0,0
159,501,1.0,1,1,3,2,1,2,2,2,3,3,3,2,1,2,3,2,4,3,2,2,3,4,2,3,3,3,2,3,3,4,3,2,3,2,2,-1,-1,25,1.0,1,2,0,0,0,0,0,0,0,0,0,0,1
160,6,1.0,1,1,3,1,1,1,3,3,2,1,1,2,1,3,4,4,2,3,3,3,3,3,3,3,1,3,2,3,2,1,1,1,1,1,1,2,1,27,1.0,1,2,0,0,0,0,0,1,0,0,0,0,0
161,1001,0.0,1,1,3,2,2,4,2,2,2,2,1,2,1,2,2,4,4,3,2,2,2,2,2,3,3,3,2,2,1,3,3,1,1,1,1,2,1,41,2.0,1,3,0,1,0,0,0,0,0,0,0,0,0
162,101,1.0,1,1,3,1,2,2,2,3,2,3,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,2,3,2,3,3,1,1,2,2,3,1,41,2.0,1,2,0,0,0,0,0,1,0,0,0,0,0
163,1001,0.0,1,1,1,1,1,1,1,2,3,3,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,2,2,-1,4,2,3,3,2,1,-1,-1,55,2.0,1,3,0,0,0,0,0,0,0,0,1,0,0
164,1001,1.0,1,1,1,1,1,3,2,3,2,2,3,2,1,4,2,3,4,3,3,2,3,4,4,3,1,2,2,3,2,3,3,1,1,2,2,-1,-1,21,1.0,1,3,0,0,0,1,0,0,0,0,0,0,0
165,1001,0.0,2,2,1,3,2,1,2,2,3,2,1,2,1,1,2,4,4,3,3,3,3,2,3,3,2,2,2,3,-1,4,3,3,3,2,2,-1,-1,37,1.0,4,3,0,0,0,0,0,0,1,0,0,0,0
166,1001,0.0,2,3,3,2,1,1,2,2,2,1,2,2,1,4,4,4,4,2,2,2,2,2,2,3,2,2,3,3,-1,-1,3,3,3,2,2,-1,-1,34,2.0,4,2,1,0,0,0,0,0,0,0,0,0,0
167,1001,0.0,1,1,3,1,2,3,2,3,3,3,2,2,1,3,4,4,2,3,3,3,2,4,3,3,2,3,3,3,4,4,2,3,2,2,2,-1,2,40,1.0,0,3,0,1,0,0,0,0,0,0,0,0,0
169,1001,0.0,1,2,1,2,2,2,2,3,3,2,2,2,1,3,4,3,2,3,2,3,2,2,4,3,1,3,2,2,-1,3,3,3,2,2,2,-1,2,36,1.0,3,2,0,0,0,0,0,0,0,1,0,0,0
170,26,1.0,3,2,3,3,3,2,2,2,1,2,3,2,1,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3,2,2,2,2,2,25,1.0,3,3,1,0,0,0,0,0,0,0,0,0,0
171,101,1.0,2,2,3,2,2,3,2,3,2,1,2,2,1,3,4,3,4,3,3,2,2,1,3,3,2,2,3,3,2,4,3,3,3,2,2,-1,-1,35,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0
172,6,1.0,3,2,3,3,2,3,2,2,2,2,2,2,1,2,2,4,2,3,3,2,2,2,2,3,2,3,2,3,2,3,2,2,3,2,1,-1,-1,37,1.0,1,1,0,1,0,0,0,0,0,0,0,0,0
173,1001,0.0,1,3,3,1,2,3,2,2,3,2,3,2,1,2,3,4,2,3,3,2,3,2,3,3,3,3,2,2,4,4,2,2,2,2,2,-1,2,45,1.0,1,2,1,1,0,0,0,0,0,0,0,0,0
174,6,1.0,3,-1,3,3,3,3,2,2,1,1,3,2,1,4,2,4,4,2,3,3,3,4,2,3,3,3,1,3,5,3,1,1,1,1,1,2,1,26,1.0,1,3,1,0,0,0,0,0,0,0,0,0,0
175,26,1.0,1,2,3,2,1,2,2,2,2,3,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,2,3,2,4,3,3,3,2,2,-1,-1,23,1.0,1,2,1,0,0,0,0,0,0,0,0,0,0
176,26,1.0,1,1,3,3,1,4,2,3,3,3,3,2,1,2,3,4,4,2,2,3,3,2,4,2,2,2,2,3,2,2,1,1,1,1,1,2,1,22,2.0,1,2,1,0,0,0,0,0,0,0,0,0,0
177,26,1.0,2,2,3,3,2,2,3,3,2,2,2,2,1,3,4,3,4,3,2,3,2,2,2,2,3,3,3,2,2,3,1,1,1,1,1,3,1,46,2.0,1,1,0,1,0,0,0,0,0,0,0,0,0
178,6,1.0,3,-1,1,3,1,2,3,3,1,1,1,2,1,4,3,4,4,3,3,3,3,3,4,2,1,1,3,3,3,4,3,3,3,2,2,-1,-1,31,1.0,0,2,0,0,0,0,0,0,0,1,0,0,0
179,101,1.0,1,2,2,2,2,1,3,3,1,1,1,2,1,3,4,4,4,3,2,3,3,3,3,3,1,2,5,5,1,4,1,2,1,1,1,2,1,27,1.0,1,1,0,1,0,1,0,0,0,0,0,0,1
180,6,1.0,3,-1,3,1,2,1,3,3,1,1,1,2,1,3,4,4,4,3,1,3,2,3,4,3,2,2,3,4,1,4,2,2,3,2,2,-1,-1,37,1.0,0,2,0,1,1,0,0,0,0,0,0,0,0
181,101,1.0,2,2,3,3,2,3,2,2,3,3,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,4,2,4,3,3,3,2,2,-1,-1,37,1.0,0,3,0,0,1,0,0,0,0,0,0,0,0
182,1,1.0,-1,-1,1,2,2,1,3,3,1,1,1,2,1,3,4,4,4,1,2,2,2,4,2,2,2,3,2,4,2,1,3,1,2,1,1,4,1,26,3.0,4,2,0,1,1,0,0,1,0,0,0,0,1
183,501,1.0,3,3,3,3,1,1,3,3,2,1,2,2,1,1,2,4,4,3,4,3,2,2,3,3,3,3,3,4,-1,4,1,3,3,2,1,3,2,23,1.0,4,3,0,1,0,0,0,0,0,0,0,0,0
184,26,1.0,1,1,3,3,1,4,2,3,2,2,1,2,1,4,1,4,4,4,2,2,3,4,4,3,2,2,2,3,2,2,1,1,1,1,1,3,1,40,1.0,1,3,1,1,1,0,0,0,0,0,0,0,1
185,1,1.0,3,3,3,3,3,2,3,3,2,1,3,2,1,3,4,4,4,2,2,3,2,2,4,3,1,2,3,4,2,4,3,3,3,2,2,-1,-1,29,1.0,9,2,0,1,1,0,0,0,0,0,0,0,0
186,101,1.0,1,1,1,1,1,2,3,3,1,1,1,2,1,3,4,3,1,3,3,3,2,2,2,3,2,2,4,5,2,4,2,1,1,1,1,2,1,37,1.0,1,2,1,1,0,1,0,0,0,0,0,0,0
187,101,1.0,1,1,2,1,1,4,3,3,1,1,1,2,1,2,2,2,2,1,2,3,2,2,2,2,2,3,3,3,-1,3,1,2,3,2,1,-1,-1,34,2.0,1,3,0,0,0,0,0,0,0,1,1,0,0
188,1001,1.0,1,3,3,2,2,1,3,3,1,1,1,2,1,2,2,4,4,3,1,2,3,2,4,3,2,2,4,3,1,4,3,1,1,1,1,3,1,40,1.0,1,2,0,1,0,0,0,0,0,0,0,0,1
189,501,1.0,1,3,3,2,2,1,2,3,2,2,2,2,1,3,4,4,4,3,3,3,2,2,2,3,1,3,2,2,1,3,3,1,2,1,1,4,2,39,1.0,1,2,0,1,0,0,0,0,1,0,0,0,0
190,501,1.0,1,2,2,1,2,2,2,3,2,2,1,2,1,3,4,3,2,3,2,2,2,2,2,3,2,2,3,3,2,4,1,1,1,1,1,3,2,28,1.0,1,1,0,1,0,0,0,0,0,0,0,0,0
192,26,1.0,3,3,3,3,2,3,3,3,3,3,2,2,1,4,1,4,4,3,3,3,3,4,2,3,2,3,3,4,4,4,1,3,3,2,2,-1,-1,27,1.0,3,2,0,1,0,0,0,0,0,0,0,0,0
194,1001,1.0,1,1,3,3,2,4,2,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,1,1,1,1,2,1,49,2.0,1,2,0,0,1,0,0,0,0,0,0,0,1
195,26,1.0,3,2,3,3,2,2,2,3,1,1,3,2,1,4,4,4,4,3,2,3,2,2,4,3,1,3,2,3,1,4,2,1,1,1,1,2,1,35,1.0,0,3,0,1,0,0,0,0,0,0,0,0,0
196,101,1.0,2,3,3,3,2,2,2,3,2,2,2,2,1,4,3,4,4,4,2,3,2,2,2,2,2,3,3,5,1,2,1,1,1,1,1,2,1,35,1.0,10,2,0,1,0,0,0,0,1,0,0,0,0
198,501,1.0,1,1,1,1,1,3,2,3,1,2,1,2,1,1,2,4,2,1,2,3,2,4,4,3,1,3,3,3,3,3,1,1,3,1,1,3,1,32,1.0,1,2,0,0,0,0,0,1,1,0,0,0,0
199,1001,1.0,1,1,3,1,2,4,1,2,3,3,3,2,1,4,4,4,4,4,1,2,3,4,4,2,2,3,2,2,4,4,1,1,1,1,1,2,1,42,1.0,1,2,0,1,0,0,0,0,1,0,0,0,0
200,101,1.0,1,1,3,1,1,4,2,3,2,1,1,2,1,2,2,4,2,3,2,1,2,2,4,2,2,3,2,2,2,3,1,1,2,2,1,2,1,33,2.0,1,1,0,0,0,0,0,0,0,0,0,0,1
201,26,1.0,2,-1,3,2,1,1,3,3,1,1,2,2,1,3,4,2,4,3,4,3,2,1,3,3,1,1,4,4,1,4,3,3,3,2,2,-1,-1,35,1.0,0,1,0,1,1,0,0,0,1,0,0,0,0
202,501,1.0,2,3,3,2,1,2,3,3,1,1,1,2,1,3,4,4,4,3,3,3,2,2,3,3,3,3,2,2,2,4,3,2,2,2,2,-1,-1,24,1.0,11,2,1,1,0,0,0,0,0,0,0,0,0
203,501,1.0,1,1,3,1,2,2,3,3,1,1,3,1,1,1,1,4,2,3,2,2,2,2,2,2,3,1,3,5,1,2,1,1,1,1,1,2,2,29,2.0,1,2,0,0,0,0,0,0,0,1,0,0,0
204,101,1.0,2,2,3,3,2,4,2,3,2,1,1,2,1,4,4,4,4,3,2,3,2,2,2,3,1,3,3,3,2,3,3,1,2,2,1,2,2,29,1.0,1,1,1,1,0,0,0,0,1,0,0,0,0
205,6,1.0,-1,-1,3,3,3,2,3,3,2,2,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,4,4,4,-1,3,3,3,2,2,-1,-1,24,1.0,0,2,0,0,0,0,0,0,1,0,0,0,0
206,501,1.0,2,3,1,2,2,2,2,3,1,2,2,2,1,4,4,4,4,3,3,3,2,2,4,3,1,3,2,2,1,4,1,2,3,2,1,2,1,30,1.0,10,1,1,1,0,0,0,0,0,0,0,0,0
207,26,1.0,2,3,3,3,2,4,2,3,3,3,2,2,1,2,2,2,4,3,2,3,2,2,2,3,3,3,4,4,1,4,3,1,1,1,1,2,1,30,1.0,1,1,0,1,1,0,0,0,0,0,0,0,0
208,6,1.0,3,3,3,3,2,4,1,3,3,3,2,2,1,2,2,2,2,1,3,3,2,2,2,3,1,2,3,2,2,4,1,1,1,1,1,3,1,44,1.0,1,1,0,0,0,0,0,0,0,0,0,0,1
209,101,1.0,1,2,3,1,2,2,3,3,2,2,3,2,1,3,4,4,4,3,2,3,2,4,4,3,2,2,3,4,3,4,3,3,3,2,2,-1,-1,37,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0
210,501,1.0,3,3,3,3,2,3,3,3,2,2,1,2,1,2,2,4,4,1,4,3,2,2,2,3,3,3,2,3,2,4,3,3,3,2,2,-1,-1,28,1.0,3,2,0,0,0,0,0,0,0,1,0,0,0
211,101,1.0,1,1,2,2,1,2,3,3,2,1,1,2,1,1,2,2,2,3,4,3,2,2,2,3,2,2,4,4,3,4,1,1,3,1,1,3,2,42,1.0,1,1,0,0,0,0,0,0,1,0,0,0,0
212,1,1.0,1,3,3,3,2,2,2,3,1,1,2,2,1,2,2,2,2,2,1,3,2,2,2,1,2,3,1,5,2,1,1,1,1,1,1,3,2,30,2.0,0,2,1,1,0,0,0,0,1,0,0,0,0
213,101,1.0,2,2,3,2,2,3,2,2,3,2,3,2,1,4,4,4,4,2,3,2,2,2,4,3,2,3,2,4,4,4,3,2,2,2,1,1,1,36,1.0,11,2,0,0,0,0,0,0,0,0,0,0,1
214,501,1.0,2,3,3,3,2,3,2,2,3,2,1,2,1,4,4,4,4,3,3,3,3,3,3,3,1,2,1,4,-1,4,3,3,3,2,2,-1,-1,30,1.0,11,2,0,1,0,0,0,0,0,0,0,0,0
215,6,1.0,2,3,3,3,2,3,2,2,3,3,1,2,1,3,4,4,4,3,3,3,3,3,3,3,2,2,3,4,-1,-1,3,3,3,2,2,-1,-1,29,1.0,1,1,0,1,0,0,0,0,0,0,0,0,0
216,501,1.0,2,3,2,2,2,3,2,2,2,2,3,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,3,3,-1,4,3,3,3,2,2,-1,-1,25,1.0,1,2,0,0,0,0,0,0,0,1,0,0,0
217,26,1.0,3,-1,3,3,2,2,3,3,2,2,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,3,3,2,4,3,3,3,2,2,-1,-1,25,1.0,7,2,0,1,0,0,0,0,0,0,0,0,0
218,501,1.0,2,2,3,2,2,2,3,3,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,3,4,2,4,3,3,3,2,2,-1,-1,24,1.0,11,3,1,1,0,0,0,0,0,1,0,0,0
219,1001,1.0,3,3,3,3,3,2,1,3,3,3,3,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,1,4,2,4,3,1,1,2,1,3,2,25,1.0,11,2,0,1,0,0,0,0,0,0,0,0,0
220,26,1.0,1,1,3,3,1,1,3,3,1,1,1,2,1,1,1,4,4,1,4,3,1,1,1,3,1,1,5,5,1,4,2,1,1,1,2,4,4,31,1.0,9,3,0,0,0,0,0,1,1,0,0,0,0
221,26,1.0,1,3,3,3,2,3,2,3,2,3,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,3,3,2,3,1,3,3,2,2,-1,-1,37,1.0,2,2,0,1,0,0,0,0,0,0,0,0,0
222,101,1.0,2,3,3,2,2,2,3,3,2,1,3,2,1,3,4,3,4,3,2,2,2,2,3,3,2,2,4,3,2,4,3,3,3,2,2,-1,-1,35,1.0,1,3,0,1,0,0,0,0,0,0,0,0,0
223,6,1.0,-1,-1,1,3,1,2,2,2,1,1,2,2,1,4,2,4,4,4,1,2,3,4,4,2,3,3,1,4,5,4,1,1,3,1,1,3,1,26,2.0,12,2,1,1,0,0,0,0,0,0,0,0,0
224,101,1.0,1,1,3,3,1,2,3,3,1,1,1,2,1,4,3,4,4,2,2,2,2,2,2,2,2,3,3,3,2,3,2,3,3,2,2,-1,-1,31,1.0,0,1,0,1,1,0,0,0,0,0,0,0,0
225,501,1.0,1,2,3,2,2,2,2,3,2,2,1,2,1,2,2,2,2,3,2,2,2,2,2,3,3,3,2,2,4,4,1,2,3,2,1,4,1,29,2.0,1,1,0,0,0,0,0,0,0,1,0,0,1
226,26,1.0,2,3,3,3,2,2,2,2,3,3,2,1,1,3,4,4,4,3,3,2,3,4,3,2,2,3,2,2,3,2,1,1,3,1,2,-1,-1,33,1.0,6,2,0,1,0,0,0,0,0,0,0,0,0
227,26,1.0,3,2,3,3,3,2,2,3,2,3,1,2,1,4,4,4,4,4,2,2,2,4,4,3,2,2,3,4,4,4,3,3,3,2,2,-1,-1,30,1.0,13,1,0,0,0,0,0,0,1,0,0,0,0
228,26,1.0,1,1,3,3,2,3,2,3,1,1,3,2,1,4,4,4,4,3,2,3,3,4,4,3,1,2,2,2,2,4,2,1,2,2,2,1,2,30,1.0,1,2,0,1,0,0,0,0,0,0,0,0,0
229,101,1.0,1,1,3,1,2,4,2,2,3,3,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,2,2,2,1,1,1,1,1,1,2,2,29,2.0,1,3,0,0,0,0,0,0,0,1,0,0,0
230,26,1.0,2,3,3,1,3,4,2,2,3,3,3,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,2,2,5,3,2,1,1,1,1,4,1,25,2.0,1,2,0,0,0,0,0,0,0,0,1,0,0
231,1001,0.0,1,1,1,1,1,1,3,3,2,1,1,2,1,4,4,4,4,3,3,2,2,2,4,2,1,1,3,3,2,2,1,1,3,2,1,-1,-1,27,1.0,1,3,0,1,0,0,0,0,0,0,0,0,0
232,501,1.0,1,2,3,3,1,1,3,3,3,3,1,2,1,4,4,4,4,3,4,3,2,4,2,3,1,2,4,4,4,-1,3,3,3,2,2,-1,-1,26,1.0,3,2,0,0,0,0,0,1,0,0,0,0,0
233,501,1.0,1,1,2,2,1,1,3,3,1,1,1,2,1,2,1,2,2,1,3,2,2,2,2,3,1,2,3,4,1,4,1,3,3,2,2,-1,-1,38,2.0,1,1,0,0,0,0,0,0,0,1,0,0,0
234,1001,1.0,1,1,1,1,3,5,1,3,2,3,3,2,1,2,2,4,4,3,2,3,3,4,4,3,3,3,2,2,2,3,1,1,1,1,1,4,2,49,1.0,1,2,0,0,0,0,0,0,0,1,0,0,0
235,26,1.0,1,1,3,1,1,1,3,3,1,1,1,2,1,2,1,2,2,1,4,3,1,1,1,3,1,1,3,4,1,4,1,3,3,2,2,-1,-1,30,1.0,1,2,0,0,0,1,0,0,0,0,0,0,0
237,101,1.0,3,3,3,2,2,1,2,3,3,3,2,2,1,4,4,4,4,4,2,3,3,4,1,2,2,1,2,2,4,2,3,3,3,2,2,-1,-1,31,1.0,11,3,1,1,0,0,0,0,0,0,0,0,0
239,101,1.0,3,3,3,3,2,1,2,3,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,3,3,2,4,3,3,3,2,2,-1,-1,31,1.0,3,2,0,1,0,0,0,0,0,0,0,0,0
240,101,1.0,-1,2,1,3,2,3,1,2,3,3,1,2,1,4,3,3,4,3,2,2,3,4,3,3,2,3,2,2,2,4,2,2,2,2,1,3,1,34,1.0,3,3,1,0,0,0,0,0,0,0,0,0,0
241,6,1.0,2,3,3,2,2,2,2,3,1,2,3,2,1,3,4,4,4,4,2,2,2,2,4,3,2,2,3,4,2,4,3,1,3,2,1,3,1,28,1.0,1,2,1,1,0,0,0,0,0,0,0,0,1
243,501,1.0,2,2,3,2,2,1,3,3,3,2,2,2,1,3,4,4,4,3,3,2,3,4,2,3,3,3,3,3,2,4,2,3,3,2,2,-1,-1,27,1.0,3,1,0,1,0,0,0,0,0,0,0,0,0
245,6,1.0,2,2,3,2,2,3,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,3,3,3,4,2,2,2,1,1,2,2,37,2.0,1,2,0,0,0,0,0,0,0,1,0,0,0
246,1001,1.0,-1,-1,1,1,1,1,1,3,2,2,1,2,1,3,4,4,2,3,2,3,2,4,4,3,2,3,1,4,2,1,3,1,1,1,1,2,1,45,1.0,0,2,0,0,1,0,0,0,1,0,0,0,0
247,6,1.0,3,-1,3,3,2,2,3,3,2,1,1,2,1,2,2,2,4,3,1,2,2,4,4,2,3,3,5,3,2,2,1,1,1,1,1,2,1,31,2.0,1,1,1,0,0,0,0,0,0,0,0,0,0
